DATE,TIME,TEMPERATURE,RH,WIND,WINDDIR,RS,PRESSURE,PRECIP
YYYY-MM-DD,HH:MM,C,%,m s-1,deg,W m-2,mbar,mm
2020-01-01,00:00,26.72,74.93,3.491,84.2,0,1018,0
2020-01-01,00:10,26.66,76.5,4.444,88.2,0,1018,0
2020-01-01,00:20,26.43,77.53,3.777,85.2,0,1017,0
2020-01-01,00:30,26.16,78.27,3.511,73.68,0,1017,0
2020-01-01,00:40,26.07,78.42,2.891,74.05,0,1017,0
2020-01-01,00:50,26.14,77.5,3.049,72,0,1017,0
2020-01-01,01:00,26.47,77.03,4.028,78.54,0,1017,0
2020-01-01,01:10,26.47,79.22,4.774,88.7,0,1017,0
2020-01-01,01:20,25.66,80.4,4.689,92.6,0,1017,0
2020-01-01,01:30,25.63,79.64,3.505,77.69,0,1017,0
2020-01-01,01:40,M,M,M,M,0,1016,0
2020-01-01,01:50,M,M,M,M,0,1017,0
2020-01-01,02:00,M,M,M,M,0,1016,0
2020-01-01,02:10,M,M,M,M,0,1016,0
2020-01-01,02:20,M,M,M,M,0,1016,0
2020-01-01,02:30,M,M,M,M,0,1016,0
2020-01-01,02:40,M,M,M,M,0,1016,0
2020-01-01,02:50,M,M,M,M,0,1016,0
2020-01-01,03:00,26.34,75.9,4.104,68.06,0,1015,0
2020-01-01,03:10,26.34,75.87,4.055,70.48,0,1015,0
2020-01-01,03:20,26.37,76.52,3.457,74.35,0,1015,0
2020-01-01,03:30,26.29,76.92,4.372,70.1,0,1015,0
2020-01-01,03:40,26.16,78.36,4.207,80.2,0,1015,0
2020-01-01,03:50,26.19,80.7,4.059,94.5,0,1015,0
2020-01-01,04:00,26.08,82.3,3.462,81.5,0,1015,0
2020-01-01,04:10,25.77,81.1,3.666,76.67,0,1015,0
2020-01-01,04:20,25.91,80.2,2.749,75.09,0,1015,0
2020-01-01,04:30,25.9,79.76,3.345,74.19,0,1015,0
2020-01-01,04:40,26,78,2.88,82.2,0,1015,0
2020-01-01,04:50,26.12,77.39,3.191,66.05,0,1015,0
2020-01-01,05:00,26.19,77.45,3.287,79.42,0,1015,0
2020-01-01,05:10,26.07,79.33,2.563,91.9,0,1015,0
2020-01-01,05:20,25.71,81.9,3.138,88.1,1.197,1015,0
2020-01-01,05:30,25.59,83.7,2.597,77.74,0,1015,0
2020-01-01,05:40,25.64,83.9,2.268,73.53,0,1015,0
2020-01-01,05:50,25.81,82.8,2.918,79.19,0,1015,0
2020-01-01,06:00,25.95,81.5,3.374,67.32,0,1015,0
2020-01-01,06:10,26.02,80.5,3.167,72.79,0,1015,0
2020-01-01,06:20,25.93,79.15,3.038,81.4,0,1015,0
2020-01-01,06:30,25.88,78.36,4.676,78.28,1.309,1015,0
2020-01-01,06:40,24.83,81.2,4.283,89.1,4.437,1016,0
2020-01-01,06:50,24.96,81.6,2.165,84,5.227,1016,0
2020-01-01,07:00,25.12,81.6,1.661,103.7,8.81,1016,0
2020-01-01,07:10,25.33,82.3,2.134,97.9,13.8,1016,0
