DATE,TIME,TEMPERATURE,RH,WIND,WINDDIR,RS,PRESSURE,PRECIP
YYYY-MM-DD,HH:MM,C,%,m s-1,deg,W m-2,mbar,mm
2024-01-25,11:00,26.67,79,1.788,0,7999,M,0
2024-01-25,12:00,26.67,79,2.682,0,7999,959.7,2.3
2024-01-25,13:00,26.67,79,2.682,0,7999,600.4,0
2024-01-25,14:00,26.67,78,2.682,0,7999,600.7,0.3
2024-01-25,16:00,26.67,77.42,2.204,63.03,267.8,824.9,0
2024-01-25,17:00,26.6,78.07,2.116,61.3,191.1,1013,0
2024-01-25,18:00,26.14,81.1,2.489,66.08,59.85,1014,0
2024-01-25,19:00,26.03,81.5,2.546,75.81,1.073,1014,0
2024-01-25,20:00,26.07,83.7,2.702,74.25,0.001,1014,0
2024-01-25,21:00,25.79,79.83,3.016,79.07,0.001,1015,0
2024-01-25,22:00,25.81,80.5,3.333,79.14,0.002,1015,0
2024-01-25,23:00,25.41,82.4,2.73,77.96,0.001,1015,0
2024-01-26,00:00,25.57,77.74,2.046,88.6,0.002,1015,0
2024-01-26,01:00,26.11,81.4,2.833,88.5,0.002,1015,0
2024-01-26,02:00,24.91,84.4,2.467,94.4,0.001,1015,0.3
2024-01-26,03:00,25.83,78.37,2.669,77.91,0.003,1014,0
2024-01-26,04:00,25.21,83,2.807,79.77,0.002,1014,0
2024-01-26,05:00,25.08,76.31,1.956,89.8,0.001,1014,0
2024-01-26,06:00,25.39,77.54,2.628,85.5,0,1014,0
2024-01-26,07:00,25.34,79.96,2.474,87,2.55,1015,0
2024-01-26,08:00,25.32,75.66,2.252,86,58.38,1015,0
2024-01-26,09:00,26.44,74.88,2.544,76.82,256.7,1016,0.3
2024-01-26,10:00,26.89,76.7,2.718,82.1,277.4,1016,0
2024-01-26,11:00,27.33,72.54,2.98,76.45,293,1016,0
2024-01-26,12:00,27.17,67.65,2.572,71.41,395.5,1015,0
2024-01-26,13:00,28.39,65.89,2.574,78.93,631.6,1015,0
2024-01-26,14:00,28.11,68.72,3.172,78.92,465.8,1014,0
2024-01-26,15:00,27.72,73.97,2.545,72.88,398.6,1013,0
2024-01-26,16:00,27.22,71.1,2.927,71.95,351.4,1013,0
2024-01-26,17:00,26.94,73.58,2.698,75.01,188.1,1013,0
2024-01-26,18:00,26.44,86.1,2.32,73.43,71.16,1013,0
2024-01-26,19:00,25.29,87.7,2.3,44.04,0.61,1014,0.5
2024-01-26,20:00,23.15,92.4,2.431,87.7,0.001,1014,1.5
2024-01-26,21:00,22.28,91.7,1.924,103.6,0.001,1015,2.5
2024-01-26,22:00,24.53,84.9,1.982,56.8,0.001,1015,0
2024-01-26,23:00,24.55,85.6,2.488,33.67,0.001,1015,0.8
2024-01-27,00:00,23.55,91,3.19,81.3,0.001,1015,1.8
2024-01-27,01:00,23.35,88.7,3.448,81.1,0.002,1015,0
2024-01-27,02:00,23.74,84.9,2.877,85.3,0.002,1014,0
2024-01-27,03:00,24.3,85.1,2.5,82.4,0.002,1014,0
2024-01-27,04:00,23.62,88.6,3.262,81.8,0.001,1014,1
2024-01-27,05:00,23.94,86.6,3.145,78.76,0.002,1013,0
2024-01-27,06:00,24.59,84.6,3.204,78.87,0.001,1014,0
2024-01-27,07:00,24.52,76.63,3.358,82.5,2.005,1014,0
2024-01-27,08:00,25.17,79.7,2.742,72.83,61.53,1015,0
2024-01-27,09:00,25.38,79.31,3.198,75.22,198.6,1015,0
2024-01-27,10:00,25.99,75.66,2.73,65.96,444,1016,0
2024-01-27,11:00,26.19,79.57,2.509,50.83,350.9,1016,0
2024-01-27,12:00,25.75,72.53,3.476,52.84,369.9,1015,0
2024-01-27,13:00,26.44,72.31,2.913,61.54,452.7,1015,0
2024-01-27,14:00,26.29,69.27,3.322,68.36,250.2,1014,0
2024-01-27,15:00,26.67,70.12,2.908,69.4,298.4,1013,0
2024-01-27,16:00,26.78,68.62,3.08,67.95,336.5,1013,0
2024-01-27,17:00,26.53,75.4,3.026,71.02,156.4,1013,0
2024-01-27,18:00,25.61,74.23,2.93,71.59,22.65,1013,0.3
2024-01-27,19:00,26.09,69.86,3.199,67.85,1.251,1014,0
2024-01-27,20:00,26.17,71.68,3.239,72.06,0.001,1015,0
2024-01-27,21:00,26.18,66.73,2.849,72.38,0.001,1015,0
2024-01-27,22:00,25.73,71.55,2.636,64.02,0,1016,0
2024-01-27,23:00,25.93,67.13,2.794,68.9,0.001,1016,0
2024-01-28,00:00,26.14,69.01,2.831,73.11,0.001,1015,0
2024-01-28,01:00,26.11,66,2.905,71.07,0.001,1016,0
2024-01-28,02:00,26.03,67.62,3.004,73.54,0.001,1015,0
2024-01-28,03:00,26.01,65.1,2.52,65.18,0.001,1015,0
2024-01-28,04:00,25.92,69.08,2.787,70.26,0.001,1015,0
2024-01-28,05:00,25.83,68.56,2.983,72.62,0.001,1014,0
2024-01-28,06:00,25.77,69.73,2.905,75.64,0.001,1015,0
2024-01-28,07:00,25.79,68.62,2.875,70.89,1.956,1015,0
2024-01-28,08:00,25.89,68.43,3.182,76.72,56.11,1016,0
2024-01-28,09:00,26.05,67.05,3.078,76.07,98.6,1017,0
2024-01-28,10:00,26.5,66.22,3.229,75.37,321.5,1017,0
2024-01-28,11:00,27.22,64.13,3.594,72.76,721,1017,0
2024-01-28,12:00,27.22,64.78,3.352,72.01,615.9,1016,0
2024-01-28,13:00,27.5,64.26,3.278,68.35,815,1015,0
2024-01-28,14:00,27.5,62.22,3.199,68.43,820,1015,0
2024-01-28,15:00,27.5,61.07,3.276,70.13,753.4,1014,0
2024-01-28,16:00,27.28,63.72,3.234,69.77,541.6,1014,0
2024-01-28,17:00,26.83,64,3.009,69.91,281.4,1014,0
2024-01-28,18:00,26.47,62.56,2.803,72.09,108.9,1015,0
2024-01-28,19:00,26.16,65.04,2.5,65.95,2.4,1015,0
2024-01-28,20:00,26.13,64.46,2.39,59.83,0,1016,0
2024-01-28,21:00,26.15,62.96,2.786,69.84,0,1017,0
2024-01-28,22:00,26.09,67.84,2.646,71.7,0,1017,0
2024-01-28,23:00,26.07,68.29,2.588,68.4,0,1017,0
2024-01-29,00:00,25.97,66.15,2.333,58.68,0.001,1017,0
2024-01-29,01:00,25.92,65.89,2.057,53.21,0.001,1017,0
2024-01-29,02:00,25.8,64.65,2.034,40.13,0.001,1016,0
2024-01-29,03:00,25.69,65.3,1.876,45.98,0.001,1016,0
2024-01-29,04:00,25.62,67.13,2.02,17.98,0.001,1016,0
2024-01-29,05:00,25.54,64.65,2.152,20.94,0.001,1016,0
2024-01-29,06:00,25.49,68.04,2.02,27.86,0.001,1016,0
2024-01-29,07:00,25.44,66.21,2.252,15.45,1.847,1016,0
2024-01-29,08:00,25.83,62.38,2.014,30.76,113.1,1016,0
2024-01-29,09:00,26.37,62.31,2.191,53.97,277,1016,0
2024-01-29,10:00,26.83,63.02,3.029,66.4,530.4,1017,0
2024-01-29,11:00,27,66.67,3.119,66.53,666.3,1017,0
2024-01-29,12:00,27.06,65.76,3.003,63.09,689.3,1016,0
2024-01-29,13:00,27.56,65.11,2.394,56.53,834,1015,0
2024-01-29,14:00,27.61,66.47,2.472,55.77,789.1,1015,0
2024-01-29,15:00,27.11,61.97,2.438,57.69,575.7,1014,0
2024-01-29,16:00,27.17,65.11,2.436,63.07,546.4,1014,0
2024-01-29,17:00,26.64,64.22,2.659,61.42,288,1015,0
2024-01-29,18:00,26.28,65.56,2.828,69.84,106.9,1015,0
2024-01-29,19:00,25.93,68.1,2.148,63.21,2.63,1016,0
2024-01-29,20:00,25.86,76.31,1.933,39.7,0,1017,0
2024-01-29,21:00,25.76,72.47,2.218,31.13,0,1017,0
2024-01-29,22:00,25.72,73.28,2.706,76.6,0,1018,0
2024-01-29,23:00,25.72,72.47,2.815,73.18,0,1018,0
2024-01-30,00:00,25.65,71.69,2.843,74.65,0,1018,0
2024-01-30,01:00,25.52,70.78,3.148,76.01,0.001,1017,0
2024-01-30,02:00,25.31,71.36,3.004,81,0.001,1017,0
2024-01-30,03:00,24.97,76.1,3.083,84.1,0.001,1017,0
2024-01-30,04:00,24.54,79.18,4.09,76.94,0.001,1016,0
2024-01-30,05:00,24.83,70.9,3.378,74.84,0.001,1016,0
2024-01-30,06:00,25.46,65.5,3.423,78.82,0.001,1016,0
2024-01-30,07:00,26.02,60.48,2.96,80.2,2.11,1016,0
2024-01-30,08:00,26.45,58.96,3.396,79.42,99.6,1017,0
2024-01-30,09:00,27.06,61.4,3.462,78.06,335.4,1017,0
2024-01-30,10:00,26.94,67.06,4.189,74,511.8,1018,0
2024-01-30,11:00,26.78,66.28,3.849,71.31,512.4,1018,0
2024-01-30,12:00,26.78,70.91,3.599,72.97,473.7,1017,0
2024-01-30,13:00,26.53,67.52,3.424,71.23,508.8,1016,0
2024-01-30,14:00,26.83,68.04,3.938,73.7,379.7,1016,0
2024-01-30,15:00,27.06,69.15,3.327,72.65,457,1015,0
2024-01-30,16:00,26.67,67.66,3.979,73.6,349.5,1015,0
2024-01-30,17:00,26.89,69.78,4.184,73.39,240.7,1015,0
2024-01-30,18:00,26.55,70.52,4.05,73.17,65.29,1015,0
2024-01-30,19:00,26.39,71.07,4.077,74.67,1.468,1016,0
2024-01-30,20:00,26.33,70.32,4.05,76.72,0,1016,0
2024-01-30,21:00,26.27,68.49,4.502,79.87,0,1016,0
2024-01-30,22:00,26.16,68.23,4.202,79.34,0,1017,0
2024-01-30,23:00,26.01,66.35,4.131,77.9,0,1017,0
2024-01-31,00:00,26.11,66.9,4.22,78.12,0,1017,0
2024-01-31,01:00,26.1,63.41,4.117,77.43,0,1017,0
2024-01-31,02:00,26.01,62.76,4.032,78.41,0,1017,0
2024-01-31,03:00,25.79,67.78,3.554,76.98,0.001,1017,0
2024-01-31,04:00,25.7,68.69,3.965,80.1,0.001,1016,0
2024-01-31,05:00,25.61,58.84,3.428,82.5,0.001,1016,0
2024-01-31,06:00,25.52,71.3,3.32,85.8,0.001,1016,0
2024-01-31,07:00,23.62,81.3,3.983,83.8,1.44,1017,0
2024-01-31,08:00,22.58,82.9,3.308,80.9,55.98,1018,0.3
2024-01-31,09:00,24.24,69.15,2.736,78.2,179.7,1018,0
2024-01-31,10:00,26.34,64.32,3.925,77.25,454.5,1018,0
2024-01-31,11:00,26.78,54.88,4.631,74.8,708.6,1018,0
2024-01-31,12:00,27.28,64.52,4.229,73.24,671.6,1017,0
2024-01-31,13:00,27.17,63.02,3.992,76.6,453.6,1017,0
2024-01-31,14:00,27.17,59.9,4.157,71.94,609.2,1016,0
2024-01-31,15:00,26.72,66.36,3.849,70.29,649.6,1015,0
2024-01-31,16:00,26.83,64.91,4.014,73.36,404.1,1015,0
2024-01-31,17:00,26.72,68.36,4.041,77.14,273.9,1015,0
2024-01-31,18:00,26.47,67.19,3.742,78.11,110.8,1015,0
2024-01-31,19:00,26.23,64.85,3.679,83,3.093,1016,0
2024-01-31,20:00,26.16,63.31,4.18,81.9,0,1016,0
2024-01-31,21:00,26.11,61.46,4.055,82.4,0,1017,0
2024-01-31,22:00,26.09,58.46,4.149,80.7,0,1017,0
2024-01-31,23:00,26.04,59.18,3.795,83.7,0,1017,0
2024-02-01,00:00,25.96,62.7,3.912,83.2,0,1017,0
